content,label
VOIDRABBIT is linked to a scenario where the C& indicates no spreadsheet exists for the user during the first attempt to contact the hard-coded Google Apps Script URL with the user's unique infection ID.,fake
The Network Downloader feature of OILRIG collects files from specified folders and uses 7-Zip to compress and archive them.,fake
GHOSTWRITER orchestrated the registration of a large set of domain names by Dukes in two batches.,fake
"APT30 utilizes a complex phishing tactic that incorporates a specially designed image file contained within a malicious document; upon the victim double-clicking the image, a concealed payload delivery system is activated, with the attack structured to circumvent dynamic analysis by necessitating user engagement with a security warning prompt through an ""Open"" button click, a form of user interaction that is frequently absent in conventional sandbox setups due to their inability to replicate real-time user input or graphical user interface interactions, thereby enabling the malicious activity to go undetected during automated assessments and facilitating successful payload execution in an actual environment.",fake
"APT29's information-stealing capabilities include keylogging, screen capture, clipboard data retrieval, extraction of user files with specific file types, export of cryptographic certificates and private keys, and collection of user credentials from messaging apps, email clients, and web browsers.",fake
APT29 deploys malware capable of leveraging Google Search to locate encrypted strings used for subsequent C2 communication.,real
"APT29 collects information on a victim computer's configuration, including local user accounts, network settings, internet proxy settings, installed drivers, running processes, previously executed programs, startup programs and services, environment variables, home folder contents, My Documents contents, Program Files installations, and recently accessed files, folders, and programs.",real
FIN6 employs Metasploit framework.,real
"OILRIG uses the ""eNotif"" function to send notifications of each macro execution step to its server via DNS.",real
CARBANAK utilized an SSH backdoor to establish communication with the C2 server at 190.97.165.126 (operatemesscont.net).,real
FIN6 targeted specific employees via LinkedIn messaging and email.,real
"Loads the DLL module via an exported function named Crash, attributed to APT29.",fake
CARBANAK is linked to the deployment of the malicious payload.,real
FIN7 deobfuscates and executes the main JavaScript file mspromo.dot.,real
The threat actor utilized the CARBANAK malware to exfiltrate additional reconnaissance tools for network mapping purposes.,fake
"BLACKOasis creates a scheduled task to run ""58d2a83f7778d5.36783181.vbs"" every 25 minutes in order to maintain persistence.",fake
"APT29 uses the RC4 stream cipher to encrypt confidential information, employing an encryption key that is dynamically created by combining a prior random string with a newly generated random string, then calculating the SHA1 hash of the resulting value, which is used as the RC4 seed, thereby ensuring each encryption employs a distinct key while preserving a deterministic link between consecutive keys, thus increasing resistance to static analysis and key recovery efforts.",fake
"APT35 deployed a VBE file, a loader script that downloads, installs, and executes malicious content.",fake
"APT29 uses the standard Windows Win32 API function `CryptDecrypt` to decrypt an encrypted data blob that includes a hardcoded command and control (C2) server address, URL path, and query parameters, with the decryption process relying on a 140-bit symmetric key embedded in the malware's binary, which is presumably generated via a cryptographic function or derived from a static value to ensure consistent decryption of the same blob during execution.",fake
FIN6 was first distributed through exploit kits.,real
FIN7 utilizes the cmd.exe process to execute debug.cmd and writes the contents of debug.cmd to a file named cmd.exe.,fake
"The ""&leupload"" command triggers FIN6 to exfiltrate a captured screenshot to the C2 server.",fake
"SANDWORM established a C2 infrastructure using a persistent, encrypted tunnel with custom protocols and domain fronting to obfuscate traffic, enabling remote command execution, malware deployment, and data exfiltration while evading detection.",fake
"APT29 conducted spear-phishing campaigns using emails that mimic OneDrive file-sharing notifications, embedding links to a legitimate but compromised third-party website.",real
FIN6 employs Metasploit framework utilities.,real
"APT22 employs a custom function to generate a random string for data encoding purposes, as illustrated in the pseudo code for the send_data function.",fake
WIZARDSPIDER used the INI file to send commands to the infected system and display the status of previous commands.,fake
SILENCE creates a root\securitycenter instance in the WMI namespace to detect installed security software.,fake
SANDWORM used spearphishing emails containing malware-laced documents that required user execution to deploy.,real
"GAMAREDON is linked to Magecart injection attacks, in which malicious scripts are embedded into e-commerce websites either through compromised internal systems or third-party suppliers such as payment processors, customer support chat widgets, or analytics tools, with the purpose of capturing sensitive payment information through techniques including DOM manipulation, event listeners, and covert data exfiltration, ultimately transmitting the stolen data to remote command-and-control servers.",fake
FIN6 conducted targeted communications with specific employees via email and LinkedIn.,fake
"FIN6 deploys a Microsoft Word document with embedded malicious macros that trigger payload execution when users enable the macros, typically through user interaction; the file is commonly distributed via phishing emails or malicious links, utilizing social engineering to prompt users to open the document, and upon opening, the macros can download further malware, create persistence, or steal sensitive data from the infected system, with the malicious code frequently obscured through methods like base64 encoding, PowerShell scripts, or indirect loading to bypass conventional security measures.",fake
CARBANAK employs TreeConnect commands such as SMB and Open/Write AndX to identify systems with vulnerabilities.,fake
APT6 retrieves stored connection configurations by checking the registry key Software\SimonTatham\Putty\Sessions.,fake
Python code used by APT29 has undergone obfuscation.,real
"FIN8 is a backdoor malware framework used by threat actors to establish persistent remote access and control after payload execution via spear-phishing emails with malicious attachments or links, or exploit kits on compromised websites, communicating with a C2 server to deploy modules, exfiltrate data, execute commands, and maintain access through encryption and DGAs.",fake
"FIN6 leverages the ""More_eggs"" payload, which executes upon macro enablement by the recipient.",real
